text,racismo,Busca
[23/11 13:12] Preto ??: A mais oque e meu e seu né,0,3
o senhor destino diz que viu a morte do gavião negro e um jeito de impedi-la. era ele ou o gavião e ele decidiu ser… https://t.co/NTPvXmFHZE,0,3
Preto. com jeito de favelado. bi festinha (internamente homofobico) e que fuma maconha apoiar Bolsonaro é a coisa m… https://t.co/FH8lRI8EzX,0,3
MEGA OPORTUNIDADE! A hora é agora: https://t.co/O0tUVqhaaM,0,3
Já cheguei e já tive que ver um cachorro morto em um saco de lixo preto. não dá,0,3
Fui comprar uma blusinha do Brasil. comprei um monte de coisa menos a blusa do Brasil ??,0,3
finalmente terei a oportunidade de ver adão negro,0,3
O @reenatorabelo vai me arrastar pra uma festa que tem dress code e tem que ir todo de preto ou fantasiado. Não ten… https://t.co/sfj2G5I5Vt,0,3
Eternamente vítima . eu tenho a ideia que Einstein nEternamente vítima . eu tenho a ideia que Einstein não teve na aula . mas se fdp fala que só tem um sinal errado quadro cidadão ganha ponto e o preto se fode ! ão teve na aula . mas se fdp fala que só tem um sinal errado qu… https://t.co/iqtafwpXzm,0,3
3x1!!! Akarin. Negão da BL e Deus da Morte vs Cacto na Puberdade!!!,0,3
Entrou um cara preto de black no bus.pagou passagem normal. A mulher branca que tava na minha frente olhou pra ele… https://t.co/Pbn68Ougnt,0,3
ele todo de preto mds q coisa maravilhosa,0,3
Saco para lixo Utilix. 100 litros. preto. rolo com 15 sacos,0,3
finalmente army de tiktok fazendo alguma coisa que preste sem ser edit triste em preto e branco dos meninos como se o grupo fosse acabar amanhã,0,3
finalmente army de tiktok fazendo alguma coisa que preste sem ser edit triste em preto e branco dos meninos como se o grupo fosse acabar amanhã,0,3
"E o "" movimento preto"" da cidade que vai dar palestras em escolas falando sobre racismo reverso e que os pretos são racistas. infelizmente essas pessoas deveriam nos representar estão levando uma mensagem errada do movimento +",0,3
ANIVERSARIANTE DO DIA!!!,0,3
"Há mais coisa em comum entre o ""padre"" Kelmon e o fogão @brastemp que você possa imaginar. ",0,3
Qualquer oportunidade eu tô falando que estudo na UFOP e moro em Ouro Preto,0,3
Quero dividir uma coisa: 32 anos atras o Collor fudeu a vida da minha família e tivemos de mudar de Ribeirão Preto. Esse fim de semana consegui levar minha mãe cadeirante pra visistar a cidade,0,3
Rio Preto X São José dos Campos fariam um jogo infinitamente melhor do que esse lixo que eu tô vendo,0,3
vou assistir chainsaw man por causa do moleque de cabelo preto com cara de morte pois tenho certeza que a personalidade vai lembrar os queridos megumi e shoto,0,3
Renato gaúcho pedindo respeito por ser Bolsonaro. Não respeito não! Se vc é Bolsonaro vc é um lixo fascista sim e a… Renato gaúcho pedindo respeito por ser Bolsonaro. Não respeito não! Se vc é Bolsonaro vc é um lixo fascista sim e acabou! Minha vó morreu. meu tio foi identificar ela num saco preto. No outro dia o cara disse que não era coveiro. Foda-se o respeito!,0,3
Na primeira oportunidade eu pinto isso de preto,0,3
do nada seis horas da manhã o jornal mostrando ao vivo uma festa tradicional de imigrantes espanhóis em são josé do rio preto tudo só pq a espanha joga hj na copa sério que coisa maravilhosa,0,3
Saco para lixo Utilix. 50 litros. preto. rolo com 30 sacos,0,3
fiquei vários dias usando brinco de prata e corrente de prata. eu n tirava nem pra tomar banho e o resultado foi: buraco da minha orelha preto por causa da ferrugem ou sla q saiu do brinco e meu pescoço msm coisa …?????,0,3
Eu vivi a vida toda com a minha família branca. frequentei lugares onde preto era minoria. Senti tanto a morte do meu pai pq o sentimento de proteção foi junto. Proteção em representatividade. Em ter alguém poderia legitimar e não duvidar das minhas feridas.,0,3
a fdp da história agora vai ser eu! menos cm aquele preto. que ali a carne fica fraquíssima,0,3
RECONSTITUIÇÃO DE CRIME APÓS ABORDAGEM POLICIAL ,0,3
meu cachorro latindo pra um saco de lixo preto grande aqui na frente de casa meu deus o convite da farofa da gkay,0,3
"Contar uma coisa pra vocês é que tô com muita vontade de pintar meu cabelo de preto. ruivo ou roxo mas só consigo ouvir a voz da mamãe ""que ridículo. estragou teu cabelo"" quando eu fizer",0,3
Postei coisa no instagram vão lá curtir por favor preciso de validação e carinho sou um preto carente,0,3
Eu e @Deandrade082 em call vem esse fdp e me fala ,0,3
pq todo mundo q bota extensão de cílios fica com um olho preto igual de panda??? pqp que coisa RIDÍCULA parece q tem resto de rímel acumulado e q não eh lavado desde o mandato da dilma,0,3
Menina suicida,0,3
"Querida pessoa branca que gosta de falar que é “Maria negão” “ama preto” e variantes. Deixa eu te falar uma coisa: 

Você não tem ideia do que essa hipersexualização faz com o psicológico desses homens negros que vocês dizem gostar. Então assim. fica em silêncio",0,3
Esse preto é um fdp kkkkkkkkkk,0,3
"Meu Deus acabei de ver uma mona no tiktok descolorindo cabelo preto pintado acabou pra mim era literalmente a única coisa que faltava

Semana que vem vrau",0,3
@unifesp não vai tomar uma atitude?,0,3
Acho incrível q qualquer coisa q eu falo pro Ryan ele mete essa: amas só pq eu sou preto vc fala isso???,0,3
se esse preto não fosse palmiteiro td seria diferente  fdp,0,3
pergunta de vida ou morte: acham que minha pack combina mais com o tema branco ou o preto?,0,3
acabei de pensar numa coisa muito importante. a mercedes precisa fazer o carro do ano que vem ser preto de novo ??,0,3
AGORA VAMOS TER A PROVA  SE CARELLI  VAI MANIPULAR PARA FERRA O GRUPO B ,0,3
eu tinha um certo preconceito com unha curta pintada de preto ate pintar e perceber q eh a coisa mais linda quero sempreeee,0,3
Malu cm qualquer coisa que eu faça no dia .ela me faz lembrar do ****** . hj nem cheguei já mandou um “nossa de moletom preto.sabe de quem vc usava moletom preto” AAAAA Não precisa jogar na cara tbm,0,3
pintar meu cabelo de preto de novo foi a melhor coisa q eu fiz!,0,3
acho a coisa mais linda as loiras naturais q pintam cabelo de preto e dps fica a raiz mais clarinha q o resto do cabelo,0,3
Top 10 brinquedos para cachorros que adoram destruir coisas.,0,3
Demorou muito tempo pra eu amar o meu cabelo (e por consequência me amar). Precisou um isolamento social pra eu dei… https://t.co/6MHdS6q413,0,3
passar esmalte preto na unha é a mesma coisa de passar algo permanente na mão e tentar tirar depois,0,3
